Untreated,S(0%).1,S(0%).2,S(0%).3,R(0%).1,R(0%).2,R(0%).3,S(10%).1,S(10%).2,S(10%).3,R(10%).1,R(10%).2,R(10%).3,S(25%).1,S(25%).2,S(25%).3,R(25%).1,R(25%).2,R(25%).3,S(50%).1,S(50%).2,S(50%).3,R(50%).1,R(50%).2,R(50%).3,S(75%).1,S(75%).2,S(75%).3,R(75%).1,R(75%).2,R(75%).3,S(90%).1,S(90%).2,S(90%).3,R(90%).1,R(90%).2,R(90%).3,S(100%).1,S(100%).2,S(100%).3,R(100%).1,R(100%).2,R(100%).3
0,1878,2660,1943,5,5,5,1976,1988,2071,181,176,196,1510,1744,1493,416,387,531,1278,1136,1096,770,746,794,642,578,540,1138,1387,1244,214,232,188,1600,1495,1400,0,0,0,1430,1514,1650
6,2102,2953,2192,5,5,5,2213,2174,2322,180,194,213,1722,1938,1675,461,402,565,1371,1256,1188,814,792,869,717,648,578,1223,1446,1343,217,255,210,1738,1602,1502,0,0,0,1519,1625,1759
12,2461,3407,2565,5,5,5,2557,2554,2648,212,207,229,1987,2248,1984,512,456,647,1595,1475,1441,910,883,932,850,778,688,1318,1561,1507,269,297,249,1953,1791,1658,0,0,0,1667,1853,1951
18,3088,4297,3191,5,5,5,3340,3190,3306,227,214,236,2515,2879,2530,531,484,679,2051,1871,1803,984,952,999,1058,1001,884,1378,1626,1629,342,368,309,2102,1870,1738,0,0,0,1735,1907,2108
24,3670,5067,3825,5,5,5,3948,3774,3742,230,253,238,2937,3387,2957,574,488,710,2325,2169,2097,1072,1007,1054,1233,1194,992,1467,1681,1722,379,433,366,2192,1997,1817,0,0,0,1873,2081,2211
30,4254,5881,4458,5,5,5,4552,4409,4399,260,267,253,3479,3999,3427,645,528,809,2830,2559,2510,1118,1121,1168,1467,1390,1161,1540,1791,1913,462,524,418,2486,2130,2052,0,0,0,1999,2208,2357
36,5260,7067,5481,5,5,5,5633,5410,5353,300,243,289,4294,4997,4228,696,599,860,3471,3219,3064,1249,1114,1269,1799,1712,1426,1615,1993,2040,558,642,511,2680,2295,2152,0,0,0,2165,2371,2650
42,6396,8704,6662,5,5,5,6977,6511,6547,328,280,329,5179,5964,5161,836,691,1037,4205,3892,3704,1449,1369,1466,2168,2088,1750,1992,2274,2390,652,792,631,3125,2646,2564,0,0,0,2636,2737,3035
48,7610,10294,8087,5,5,5,8246,7845,7841,423,393,401,6148,7136,6181,1029,860,1176,5015,4614,4473,1801,1622,1735,2552,2474,2041,2299,2667,2796,765,920,756,3682,3094,3019,0,0,0,3038,3230,3499
54,9307,12413,9737,5,5,5,10081,9672,9601,478,416,494,7634,8819,7474,1212,1003,1446,6147,5726,5551,2102,1877,2073,3177,2968,2447,2808,3210,3208,924,1123,890,4396,3757,3484,0,0,0,3505,3720,3964
60,11378,15186,11948,5,5,5,12352,11755,11662,601,438,595,9240,10637,9211,1464,1262,1773,7434,7026,6720,2606,2338,2538,3827,3629,2960,3392,3829,3900,1103,1405,1119,5219,4426,4296,1,0,0,4141,4306,4823
66,13525,18099,14484,5,5,5,14840,14145,14053,816,636,732,11095,12844,11141,1858,1563,2124,8919,8385,8134,3214,2847,3006,4527,4288,3533,4319,4645,4625,1315,1665,1319,6334,5496,5259,0,0,0,5117,5393,5777
72,16609,21757,17646,5,5,5,17800,17124,16989,948,809,886,13462,15592,13256,2272,1902,2726,10816,10199,9882,3904,3485,3754,5547,5097,4261,5466,5715,5660,1604,2016,1552,7869,6784,6469,0,0,0,6190,6713,7034
78,20154,26250,21329,5,5,5,21687,20885,20448,1171,920,1126,16259,18875,16093,2782,2306,3350,12961,12365,11842,4902,4313,4688,6512,6076,5049,6544,7138,6850,1878,2405,1862,9338,8311,8004,0,0,0,7560,7987,8441
84,24474,31095,25669,5,5,5,25640,24854,24420,1683,1268,1425,19261,22453,19226,3585,3027,4124,15249,14363,13978,6044,5377,5884,7577,7085,5975,8379,8486,8471,2144,2823,2238,11204,10279,9802,0,0,0,9244,10069,10558
90,29129,36853,30820,5,5,5,30895,29414,29138,1853,1485,1746,22954,26620,22253,4368,3604,5124,17821,17011,16302,7487,6505,7158,8922,8156,7020,10523,10639,10348,2489,3249,2579,13847,12713,12079,0,0,0,11460,12854,12897
