Immunotherapy,S(0%).1,S(0%).2,S(0%).3,R(0%).1,R(0%).2,R(0%).3,S(10%).1,S(10%).2,S(10%).3,R(10%).1,R(10%).2,R(10%).3,S(25%).1,S(25%).2,S(25%).3,R(25%).1,R(25%).2,R(25%).3,S(50%).1,S(50%).2,S(50%).3,R(50%).1,R(50%).2,R(50%).3,S(75%).1,S(75%).2,S(75%).3,R(75%).1,R(75%).2,R(75%).3,S(90%).1,S(90%).2,S(90%).3,R(90%).1,R(90%).2,R(90%).3,S(100%).1,S(100%).2,S(100%).3,R(100%).1,R(100%).2,R(100%).3
0,2283,2144,1985,5,5,5,1804,1995,1987,131,174,221,1679,1673,1845,407,537,402,1039,1087,1289,846,696,818,536,607,603,1344,1312,1381,225,211,241,1429,1668,1635,0,1,0,1688,1543,1832
6,2576,2436,2258,5,5,5,2091,2243,2183,137,185,241,1933,1879,2088,456,590,440,1184,1216,1499,939,788,927,614,708,685,1463,1461,1532,259,237,283,1563,1872,1819,0,1,0,1869,1723,2033
12,3010,2831,2636,5,5,5,2396,2592,2548,155,209,270,2214,2186,2404,533,671,514,1390,1418,1693,1078,946,1070,726,798,789,1663,1682,1791,300,255,319,1784,2193,2151,0,1,0,2117,1971,2341
18,3778,3549,3429,5,5,5,3035,3214,3323,193,219,327,2838,2802,3064,597,775,570,1811,1741,2118,1330,1027,1201,893,976,1010,1925,1912,2044,367,316,398,2104,2444,2353,0,1,0,2466,2282,2730
24,4469,4219,3988,5,5,5,3618,3837,3980,208,264,370,3386,3387,3564,675,881,659,2124,2090,2545,1487,1153,1368,1079,1170,1189,2186,2200,2290,439,341,471,2376,2743,2694,0,1,0,2732,2569,3055
30,5244,5023,4672,5,5,5,4273,4435,4620,238,295,421,3931,3943,4193,792,1010,753,2516,2421,2976,1679,1311,1564,1271,1350,1415,2466,2526,2721,531,420,528,2730,3178,3053,1,2,0,3134,2899,3493
36,6334,6109,5777,5,5,5,5198,5413,5676,292,331,482,4819,4920,5185,897,1117,846,3066,3054,3660,1930,1486,1721,1536,1648,1739,2808,2767,3058,618,573,657,3070,3624,3417,1,1,0,3538,3323,3955
42,7664,7309,6959,5,5,5,6294,6538,6906,325,397,560,5859,5841,6210,1050,1352,1031,3749,3642,4476,2266,1749,2017,1877,2006,2056,3328,3304,3648,733,669,804,3653,4374,4057,1,1,0,4141,4049,4739
48,9094,8682,8165,5,5,5,7530,7780,8182,395,452,686,6909,7032,7329,1316,1633,1285,4404,4400,5307,2763,2179,2544,2220,2372,2502,4173,4038,4426,889,753,968,4458,5299,5006,1,1,0,4992,4839,5721
54,10959,10489,9993,5,5,5,9075,9434,9918,470,531,823,8307,8570,8960,1540,1917,1482,5365,5375,6338,3229,2564,2974,2689,2878,2978,4884,4705,5148,1073,948,1125,5161,6138,6026,1,2,0,5881,5724,6742
60,12985,12491,11796,5,5,5,10780,11067,11698,520,600,926,9881,10093,10602,1781,2190,1783,6385,6372,7617,3731,2895,3503,3166,3386,3577,5728,5418,6043,1256,1122,1372,6220,7242,7041,2,1,0,6773,6720,8045
66,15179,14760,13745,5,5,5,12619,12786,13627,634,726,1121,11443,11823,12504,2066,2596,2063,7421,7491,8857,4429,3386,4177,3679,4009,4179,6759,6408,7200,1519,1246,1569,7150,8548,8430,1,1,0,8081,7978,9413
72,17722,17456,15923,5,5,5,14780,15060,16070,753,917,1338,13422,13895,14444,2545,3165,2469,8638,8736,10454,5223,4117,5057,4230,4578,4877,7924,7671,8588,1787,1503,1817,8624,10330,10037,1,1,0,9762,9353,11146
78,19744,19600,18006,5,5,5,16718,17027,18148,878,1038,1511,15236,15803,16392,3005,3634,2916,9751,9891,11854,6165,4882,5954,4836,5257,5572,9256,9014,9960,2060,1697,2061,10069,12016,11663,1,1,1,11289,10960,12976
84,22247,21934,20000,5,5,5,18869,19174,20263,967,1201,1816,16889,17527,18407,3557,4226,3313,10929,11145,13343,7028,5879,7042,5522,6007,6281,10818,10595,11679,2310,1962,2419,11895,14055,13542,0,1,1,13196,12931,15256
90,24661,24292,22070,5,5,5,20796,20728,22112,1144,1350,2051,18832,19606,20217,4114,4895,3760,12031,12251,14830,8096,6651,7954,5985,6563,6954,12203,11964,13169,2555,2085,2750,13464,15981,15392,1,2,1,15209,14535,17183
