Radiation,S(0%).1,S(0%).2,S(0%).3,R(0%).1,R(0%).2,R(0%).3,S(10%).1,S(10%).2,S(10%).3,R(10%).1,R(10%).2,R(10%).3,S(25%).1,S(25%).2,S(25%).3,R(25%).1,R(25%).2,R(25%).3,S(50%).1,S(50%).2,S(50%).3,R(50%).1,R(50%).2,R(50%).3,S(75%).1,S(75%).2,S(75%).3,R(75%).1,R(75%).2,R(75%).3,S(90%).1,S(90%).2,S(90%).3,R(90%).1,R(90%).2,R(90%).3,S(100%).1,S(100%).2,S(100%).3,R(100%).1,R(100%).2,R(100%).3
0,1874,1452,1695,5,5,5,1800,1634,1456,164,204,137,1669,1362,1341,161,348,352,1014,988,918,723,714,733,452,448,498,1029,1033,959,212,142,176,1452,1186,1110,0,0,0,1256,1565,1570
6,1923,1501,1726,5,5,5,1855,1707,1463,174,238,152,1258,1384,1362,7,375,385,1071,1016,929,781,810,775,485,469,509,1087,1126,1050,223,172,179,1526,1294,1174,0,0,0,1352,1683,1696
12,2213,1721,2007,5,5,5,2155,1962,1694,196,234,166,1721,1573,1586,399,419,435,1237,1174,1044,867,870,867,557,555,593,1189,1252,1109,255,183,203,1735,1424,1301,0,0,0,1517,1887,1864
18,2738,2133,2501,5,5,5,2552,2440,2045,184,236,157,2070,1898,1897,406,446,440,1441,1384,1264,919,925,853,674,644,717,1229,1289,1212,306,220,251,1878,1521,1371,0,0,0,1625,1978,1922
24,3108,2376,2776,5,5,5,2837,2620,2319,219,276,175,2307,2133,2087,440,485,500,1646,1573,1403,1046,1046,973,731,731,764,1319,1433,1298,375,239,273,2033,1727,1463,0,0,0,1793,2187,2154
30,3542,2688,3076,5,5,5,3259,3003,2574,233,310,202,2609,2393,2325,524,548,564,1843,1728,1582,1142,1181,1115,829,860,839,1503,1664,1527,411,276,325,2271,1940,1699,0,0,0,2017,2422,2480
36,4167,3205,3686,5,5,5,3886,3513,3074,270,381,236,3033,2799,2721,610,593,657,2198,1993,1893,1409,1258,1270,995,987,1006,1858,1955,1738,440,324,384,2779,2335,1960,0,0,0,2411,2932,2889
42,4746,3585,4236,5,5,5,4309,3946,3452,339,444,266,3429,3188,3108,691,721,763,2429,2253,2094,1607,1675,1554,1098,1073,1163,2105,2319,2003,516,370,426,3212,2741,2289,0,0,0,2744,3461,3380
48,5247,3976,4638,5,5,5,4787,4363,3808,407,565,331,3876,3611,3407,836,879,881,2697,2502,2299,1960,1946,1837,1235,1227,1258,2540,2740,2406,556,392,486,3797,3244,2784,0,0,0,3309,4086,4020
54,5893,4389,5125,5,5,5,5329,4848,4205,490,667,375,4283,3970,3760,989,1088,1033,2939,2811,2516,2286,2308,2134,1400,1319,1391,2980,3236,2823,619,446,549,4491,3697,3273,0,1,0,3955,4804,4692
60,6438,4803,5640,5,5,5,5804,5254,4601,560,767,451,4755,4275,4117,1131,1236,1226,3184,3027,2796,2697,2680,2393,1543,1516,1495,3542,3777,3179,690,491,570,5186,4421,3747,0,1,0,4675,5555,5443
66,6996,5198,6066,5,5,5,6416,5746,5007,690,881,542,5080,4724,4389,1275,1419,1394,3469,3248,2979,3142,3126,2790,1696,1641,1602,4089,4309,3638,751,528,612,5997,5091,4417,0,1,1,5397,6433,6132
72,7721,5646,6625,5,5,5,6807,6167,5393,801,1015,628,5491,4948,4739,1499,1608,1594,3788,3455,3264,3589,3654,3139,1781,1734,1724,4618,4870,4137,803,543,711,6873,5725,4963,0,0,2,6222,7315,7026
78,8212,5897,7093,5,5,5,7300,6582,5719,896,1143,705,5904,5304,4980,1719,1888,1805,3926,3697,3454,3984,3995,3494,1919,1849,1823,5337,5458,4572,840,600,718,7653,6474,5526,0,0,2,6982,8120,7947
84,8734,6498,7661,5,5,5,7896,7000,6205,1087,1385,811,6437,5733,5384,2030,2273,2165,4281,4013,3739,4618,4564,4203,2122,2035,1898,6008,6406,5376,790,679,800,8698,7424,6638,0,1,2,8007,9343,9422
90,9418,6928,8086,5,5,5,8387,7388,6408,1184,1463,870,6827,6030,5776,2159,2430,2284,4522,4273,3886,5109,5101,4475,2215,2199,1919,6570,6958,5580,853,762,894,9664,8191,6988,1,3,3,8967,10197,9817
